# TESS Program G07025

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.
2040667109,347.4026,37.114,18.26,G07025
2040851212,353.3802,40.366,18.83,G07025
2054339595,356.2603,34.49,18.08,G07025
2054379548,357.0543,35.834,18.36,G07025;G07145
333323257,353.5055,39.3604,15.85,G07084;G07025;20SECONDTARGET
333377606,353.7445,40.2691,14.38,G07025
405560129,357.5694,33.3598,17.65,G07025;G07145
428055818,352.4444,43.7511,14.13,G07025
432226589,352.5126,30.5501,17.66,G07025;G07145
432421122,355.6092,32.8055,16.92,G07025;G07145
67482244,349.7883,33.261,17.68,G07025
191134950,7.8995,43.8181,15.42,G07025
191371475,10.0626,43.0969,18.43,G07025
191373243,10.2308,43.4165,15.75,G07025
194410667,3.5248,39.137,17.11,G07025
196278926,13.8327,46.2158,14.77,G07025
196386063,14.7683,46.2467,17.29,G07025
196433128,15.2871,43.3905,14.9,G07025
283548166,13.4472,40.9301,18.13,G07025
288297422,5.4417,40.0699,15.25,G07025
288297440,5.5362,40.1052,16.78,G07025
422880652,16.1481,41.2992,12.71,G07025
438258504,10.8329,41.2999,18.9,G07025
440051755,3.4754,44.8905,14.22,G07025
440170529,5.9854,42.7855,12.36,G07025
600653455,16.7662,42.72,18.09,G07025
601046570,0.5933,42.7036,17.78,G07025
601550888,6.0986,45.7913,16.44,G07025
603038159,12.466,51.4447,18.54,G07025
1976538531,318.3975,54.3758,17.04,G07025
2017894254,324.708,55.7349,17.39,G07025;20SECONDTARGET
2020916168,329.8161,61.089,18.56,G07025
325184203,330.4708,48.1776,16.03,G07025
325998645,331.4165,51.6503,16.88,G07025
330615123,333.9212,55.617,15.48,G07025
415157555,337.1825,56.2496,14.28,G07025
417434471,323.4318,51.1235,14.66,G07025
62698629,319.1942,53.565,16.85,G07025;20SECONDTARGET
2022583791,334.5456,65.7055,19.02,G07025
2047886906,352.5822,60.8202,18.48,G07025
2049567155,346.4101,65.3663,18.26,G07025
2050557272,350.8574,69.9813,18.69,G07025
358900051,347.6088,66.5588,14.43,G07025
433970818,342.056,64.0064,16.6,G07025
434171462,342.6684,63.477,16.33,G07084;G07025;G07092
1981167512,311.4217,67.7171,17.77,G07025
255920840,307.6562,70.7844,16.61,G07025
387352093,310.1266,69.9889,18.69,G07025
387831124,315.7776,66.1757,17.43,G07025
1883799311,298.5483,57.2914,18.33,G07025
1980058027,313.599,60.2852,18.92,G07025
1980638342,300.2352,56.9436,18.57,G07025
1980664444,301.7376,58.0464,18.82,G07025
1980908504,309.282,63.6541,18.19,G07025
1980950553,303.3689,63.0448,18.59,G07025
233264291,299.8309,56.4224,16.48,G07025
233422848,302.3934,55.0904,16.34,G07025
236868718,302.8201,60.0744,17.18,G07025
236905264,304.0985,62.2911,16.44,G07025;G07145
236997125,305.7933,64.5456,17.03,G07025
256616052,299.9155,65.9114,16.83,G07025;G07036
256872670,301.8731,62.8465,16.66,G07025
276381496,308.1354,58.1565,16.92,G07025
276749719,309.0265,54.5284,17.19,G07025
352302825,297.1968,57.1562,16.96,G07025
352371331,297.2937,58.5331,16.31,G07025;G07036
429215539,313.2724,59.2922,17.33,G07025
1551521619,275.3438,61.8153,19.05,G07025
1717869287,283.2901,59.752,18.29,G07025
1717936601,281.4263,62.3955,17.61,G07025;G07036
1718053861,282.3186,65.4953,18.67,G07025
1883998117,294.6931,58.6983,18.26,G07025
1884110538,290.8677,61.4036,18.17,G07025
230017778,291.5404,61.2202,16.65,G07025;G07036
233124538,273.6243,61.3928,15.14,G07025;G07036
233738348,277.9357,65.1917,15.42,G07025;G07036;G07167
1551771665,279.1772,78.2,19.06,G07025
1718257254,280.7451,73.7076,17.6,G07025
219107776,271.06,67.9035,13.93,G07025;G07036;G07071
229791903,284.3349,71.5219,15.64,G07025;G07036
236763903,273.131,67.0793,17.23,G07025;G07036
237232687,297.2769,77.7397,14.45,G07025;G07036
258799357,286.7761,69.1458,17.73,G07025;G07036
1201247611,242.8915,63.1421,18.03,G07025;G07036;G07092
1201303785,240.0854,70.8353,18.26,G07025;G07145;G07145
1201319601,247.7509,69.8337,20.2,G07025
1201347852,247.8575,73.9032,18.56,G07025
1271276791,258.924,68.9452,18.1,G07025
198178353,244.2539,62.0068,17.27,G07025;G07036
219848814,255.9285,66.128,17.03,G07025;G07145
272781244,237.8433,71.7532,16.61,G07025;G07036
287085812,253.179,70.5041,16.55,G07025;G07036
1271106538,255.5356,55.3074,18.85,G07025
1400639572,265.9527,52.0628,18.93,G07025;G07092
1400739415,266.947,55.4883,18.95,G07025
188819697,262.4959,52.4966,17.94,G07025
198407749,258.7366,58.8579,13.57,G07025;G07036
219756421,261.795,61.7578,14.13,G07025;G07036;G07167
219762611,262.5348,62.7985,16.14,G07025;G07036
232607126,258.1987,60.7675,18.06,G07025
287152647,253.9124,60.1999,16.09,G07025;G07036

# Sector 085 targets observed (2 min: 134, 20 s: 3)
129758136,34.9337,40.4562,15.41,G07025
129914496,36.4793,37.5681,16.54,G07025
139428553,38.8249,41.234,17.33,G07025
192648158,47.7008,42.9063,17.32,G07025
203004608,37.6011,45.1215,17.48,G07025;G07145;G07145
433419501,42.5007,37.656,15.47,G07025
621271980,37.3736,40.0445,19.02,G07025;G07092
621999443,33.3216,46.1121,18.86,G07025
622002917,33.0668,46.1986,18.7,G07025
643943529,41.3208,43.0737,17.51,G07025
189383841,21.9608,38.1366,17.0,G07025
28782374,27.5674,37.9386,17.36,G07025
471015239,22.1208,38.9102,14.4,G07025
61387010,24.1542,32.0111,15.68,G07025
620689181,24.8138,31.4053,18.31,G07025;G07092
620725990,27.7147,33.4394,17.47,G07025;G07145
620771553,23.9207,34.0295,18.77,G07025
620890073,23.2865,38.5381,18.92,G07025
621019157,36.0477,35.9885,18.48,G07025
621144768,32.0176,37.5379,17.58,G07025
67955065,26.2637,37.9425,15.82,G07025
85295134,26.1981,32.5498,11.89,G07025
118250418,30.9525,29.9904,15.51,G07025
118443959,37.5158,26.0779,18.21,G07025
21174723,36.4008,28.0973,13.01,G07025
28352818,29.5142,28.3843,17.86,G07025
285272046,35.3894,32.7232,15.2,G07025
306402624,32.4539,22.1608,18.72,G07025;G07145
5638374,32.3742,28.5413,17.59,G07025
61423366,24.4051,30.0468,16.4,G07025
620222514,31.6394,20.9519,17.87,G07025
620345632,31.4066,26.7178,19.11,G07025
620393276,37.2843,27.8792,18.35,G07025
620616298,32.7833,30.902,18.43,G07025
620649941,27.5298,30.3678,18.47,G07025
34887985,47.4384,29.8807,18.77,G07025
405417546,52.0494,28.1087,17.96,G07025
436858042,41.2409,27.5192,18.06,G07025
467577685,48.1905,30.7133,17.17,G07025
640909981,47.3742,26.6345,18.57,G07025;G07092
641322558,44.4073,33.6307,18.18,G07025
77319633,41.51,34.9189,17.94,G07025
389536783,22.633,62.359,17.01,G07025
50772124,41.5668,62.2842,15.57,G07025
52949934,17.6569,63.7258,17.05,G07025
54527638,19.6137,63.696,14.86,G07025
628786911,28.7914,69.7111,16.95,G07025;G07092;20SECONDTARGET
2045861037,355.4468,57.5169,16.6,G07025
240672169,9.3247,52.42,17.82,G07025
320180973,7.2035,59.2894,13.99,G07025
403308597,5.2175,55.7044,12.62,G07025
406964858,5.7401,61.6854,16.08,G07025
421110440,11.5336,62.168,16.26,G07025;G07145
444355555,5.8651,61.7747,14.58,G07025
445272021,12.2563,56.8786,17.73,G07025
470747364,357.8226,60.3028,16.59,G07025
603720917,4.9141,54.092,18.96,G07025
196278926,13.8327,46.2158,14.77,G07025
196386063,14.7683,46.2467,17.29,G07025
196433128,15.2871,43.3905,14.9,G07025
196687855,17.5935,47.3297,17.64,G07025
240872692,16.9285,48.7552,14.85,G07025;20SECONDTARGET
252137205,16.2723,54.0112,15.18,G07025
308786442,24.2873,50.9556,14.13,G07025
422880652,16.1481,41.2992,12.71,G07025
600653455,16.7662,42.72,18.09,G07025
603038159,12.466,51.4447,18.54,G07025
603263298,11.897,52.2766,18.76,G07025
621823477,27.9068,45.6545,18.11,G07025;G07145
623062649,22.474,51.8753,17.0,G07025
250586738,31.9931,48.5754,13.46,G07025
250968559,37.403,52.4285,15.57,G07025
251128211,43.1069,58.7675,16.34,G07025
292609584,33.0491,47.9341,16.31,G07025
347483766,33.1241,57.0887,16.57,G07025
347692846,33.4623,58.3812,13.07,G07025
622438277,31.596,50.7457,18.58,G07025
623194180,27.4868,53.5838,14.74,G07025
644624382,40.2077,49.8652,17.72,G07025
2022583791,334.5456,65.7055,19.02,G07025
2047886906,352.5822,60.8202,18.48,G07025
2049567155,346.4101,65.3663,18.26,G07025
2050557272,350.8574,69.9813,18.69,G07025
319596417,350.9541,59.2054,18.86,G07025
358900051,347.6088,66.5588,14.43,G07025
378769242,4.5622,66.3038,15.05,G07025
433970818,342.056,64.0064,16.6,G07025
434171462,342.6684,63.477,16.33,G07084;G07025;G07092;20SECONDTARGET
2051471849,343.677,75.9191,18.97,G07025
352111822,14.7209,70.8501,16.18,G07025
417748369,348.9631,72.2988,15.81,G07025
428987432,345.5791,77.5221,17.47,G07025
468534367,14.7518,75.0012,17.05,G07025
609742113,9.6566,79.3603,16.32,G07025
629585425,25.4721,73.8891,18.27,G07025
237232687,297.2769,77.7397,14.45,G07025;G07036
429021446,351.71,82.3698,15.73,G07025
470122107,329.9357,82.423,16.99,G07025;G07145
1980908504,309.282,63.6541,18.19,G07025
1981167512,311.4217,67.7171,17.77,G07025
236997125,305.7933,64.5456,17.03,G07025
255920840,307.6562,70.7844,16.61,G07025
387352093,310.1266,69.9889,18.69,G07025
387831124,315.7776,66.1757,17.43,G07025
1717869287,283.2901,59.752,18.29,G07025
1717936601,281.4263,62.3955,17.61,G07025;G07036
1718053861,282.3186,65.4953,18.67,G07025
1884110538,290.8677,61.4036,18.17,G07025
1980950553,303.3689,63.0448,18.59,G07025
230017778,291.5404,61.2202,16.65,G07025;G07036
233738348,277.9357,65.1917,15.42,G07025;G07036;G07167
256616052,299.9155,65.9114,16.83,G07025;G07036
256872670,301.8731,62.8465,16.66,G07025
258799357,286.7761,69.1458,17.73,G07025;G07036
1201347852,247.8575,73.9032,18.56,G07025
1271276791,258.924,68.9452,18.1,G07025
1401104816,262.0222,77.8548,20.58,G07025
1551771665,279.1772,78.2,19.06,G07025
1718257254,280.7451,73.7076,17.6,G07025
219107776,271.06,67.9035,13.93,G07025;G07036;G07071
229791903,284.3349,71.5219,15.64,G07025;G07036
287085812,253.179,70.5041,16.55,G07025;G07036
1201247611,242.8915,63.1421,18.03,G07025;G07036;G07092
198178353,244.2539,62.0068,17.27,G07025;G07036
219756421,261.795,61.7578,14.13,G07025;G07036;G07167
219762611,262.5348,62.7985,16.14,G07025;G07036
219848814,255.9285,66.128,17.03,G07025;G07145
232607126,258.1987,60.7675,18.06,G07025
287152647,253.9124,60.1999,16.09,G07025;G07036
1400639572,265.9527,52.0628,18.93,G07025;G07092
1400739415,266.947,55.4883,18.95,G07025
188819697,262.4959,52.4966,17.94,G07025
233124538,273.6243,61.3928,15.14,G07025;G07036
356224953,267.068,50.2897,16.39,G07025

# Sector 086 targets observed (2 min: 91, 20 s: 1)
286111484,71.6404,48.9654,16.38,G07025
310346746,82.9052,48.4085,17.75,G07025
354274006,70.4861,50.7099,12.12,G07025
367626478,73.5651,47.0906,17.72,G07025
391751628,71.7188,47.2356,16.72,G07025
65820714,74.2847,45.4639,16.52,G07025
267052599,62.1458,51.2467,15.69,G07025
267131074,62.301,48.3685,17.41,G07025
431762266,52.8,43.9042,11.87,G07025
642095655,56.8272,40.0226,17.75,G07025
642818383,53.2974,44.4353,18.0,G07025
642867565,50.0637,44.1831,18.51,G07025
643344999,55.1887,47.2754,18.24,G07025
665284806,60.6628,42.846,16.77,G07025
665462925,60.72,43.929,17.56,G07025
26623330,57.6452,35.5464,17.19,G07025
286416493,65.5742,33.7042,17.46,G07025
286689153,66.539,35.6956,15.82,G07025
641762073,55.6924,33.712,18.81,G07025
641851522,57.514,37.0145,18.59,G07025
661568457,67.1546,31.966,17.82,G07025
94605470,59.5278,34.0621,17.18,G07025
155861162,69.329,36.8819,17.64,G07025
3034524,82.142,33.306,16.51,G07025
3457576,82.7076,35.9124,16.3,G07025
67296459,83.3894,36.9923,13.79,G07025
97032980,74.6653,35.0953,16.07,G07025
103439731,65.8873,74.8806,17.2,G07025
138042556,89.3499,72.6979,15.96,G07025
140934621,78.4024,77.4785,15.0,G07025
289450662,49.5672,76.1382,14.23,G07025
468405385,75.8868,69.1639,16.61,G07025;G07145
649349330,56.9889,74.7059,18.56,G07025
286329560,44.6164,63.8763,12.99,G07025
353690983,36.5972,71.3087,14.19,G07025
50772124,41.5668,62.2842,15.57,G07025
628786911,28.7914,69.7111,16.95,G07025;G07092;20SECONDTARGET
251128211,43.1069,58.7675,16.34,G07025
280027195,53.7042,60.989,18.02,G07025
316742654,53.0647,58.7895,15.78,G07025
346020403,50.3096,61.0908,17.16,G07025
428594385,56.2983,53.5874,15.68,G07025
286641602,76.2528,60.9152,17.21,G07025;G07145;G07145
287006537,83.1414,62.7979,15.27,G07025
669316834,67.8161,58.7527,18.52,G07025
82969837,79.9566,64.4894,16.77,G07025
352111822,14.7209,70.8501,16.18,G07025
417748369,348.9631,72.2988,15.81,G07025
468534367,14.7518,75.0012,17.05,G07025
609742113,9.6566,79.3603,16.32,G07025
629585425,25.4721,73.8891,18.27,G07025
142047616,76.7012,83.3231,14.93,G07025
150317053,117.4066,88.7414,14.17,G07025
279923419,38.9932,80.4957,13.84,G07025
1271372705,250.241,78.7164,19.2,G07025
154907457,200.1152,87.8171,15.21,G07025
1551771665,279.1772,78.2,19.06,G07025
159500861,245.8472,78.4344,18.08,G07025;G07145
1981844550,301.3262,86.5763,18.23,G07025
328901708,219.6182,82.4944,15.04,G07025
237232687,297.2769,77.7397,14.45,G07025;G07036
255920840,307.6562,70.7844,16.61,G07025
387352093,310.1266,69.9889,18.69,G07025
1718053861,282.3186,65.4953,18.67,G07025
1884110538,290.8677,61.4036,18.17,G07025
229791903,284.3349,71.5219,15.64,G07025;G07036
230017778,291.5404,61.2202,16.65,G07025;G07036
233738348,277.9357,65.1917,15.42,G07025;G07036;G07167
256616052,299.9155,65.9114,16.83,G07025;G07036
258799357,286.7761,69.1458,17.73,G07025;G07036
1201303785,240.0854,70.8353,18.26,G07025;G07145;G07145
1201319601,247.7509,69.8337,20.2,G07025
1201347852,247.8575,73.9032,18.56,G07025
1271276791,258.924,68.9452,18.1,G07025
219107776,271.06,67.9035,13.93,G07025;G07036;G07071
287085812,253.179,70.5041,16.55,G07025;G07036
1201247611,242.8915,63.1421,18.03,G07025;G07036;G07092
1271106538,255.5356,55.3074,18.85,G07025
198178353,244.2539,62.0068,17.27,G07025;G07036
198407749,258.7366,58.8579,13.57,G07025;G07036
219756421,261.795,61.7578,14.13,G07025;G07036;G07167
219762611,262.5348,62.7985,16.14,G07025;G07036
232607126,258.1987,60.7675,18.06,G07025
287152647,253.9124,60.1999,16.09,G07025;G07036
1400739415,266.947,55.4883,18.95,G07025
1551521619,275.3438,61.8153,19.05,G07025
1717416294,285.9257,53.7961,18.18,G07025
1717615998,280.9016,49.8851,17.51,G07025
1717869287,283.2901,59.752,18.29,G07025
1717936601,281.4263,62.3955,17.61,G07025;G07036
233124538,273.6243,61.3928,15.14,G07025;G07036
