# TESS Program G022028

Title: White Dwarf Variability In The Ecliptic North

PI: Hermes, James - Boston University

Type: SMALL

Summary: We propose 2-min-cadence observations of 1346 white dwarfs visible in Cycle 2 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed observations will also enable asteroseismology of a large sample of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of pulsating white dwarfs. From both asteroseismology and spot modulation of magnetic white dwarfs we will significantly expand the number of white dwarfs with measured rotation rates, placing strong constraints on the endpoints of angular momentum in stars.


# Sector 014 targets observed (186)
230029140,292.224,61.0969,16.46,G022028;G022077
230384389,285.8334,60.5984,15.05,G022077;G022028
230396780,286.7044,61.1032,16.36,G022028;G022077
232681995,282.4011,58.8426,15.71,G022028
233390225,301.5704,59.0403,15.65,G022077;G022028
233418152,302.2838,55.1267,15.89,G022077;G022028
233528682,280.2552,61.3426,16.23,G022077;G022028
236865474,302.6782,62.4248,15.21,G022077;G022028;G022217
236870706,302.7724,61.5453,15.61,G022077;G022028
243331395,289.9622,54.5342,13.8,G022028
256378322,298.6058,65.5853,16.44,G022028
256459794,299.0951,64.2327,15.46,G022077;G022028;G022217
256866809,301.7306,61.7186,15.86,G022028
287259816,292.8521,57.0721,15.26,G022077;G022028
287259821,292.8517,57.0704,16.42,G022028
298900716,288.2037,53.7211,13.45,G022077;G022028;G022017
424699808,294.4412,59.0083,15.44,G022028
198479927,262.2332,55.9742,16.36,G022077;G022028
233688182,275.3393,61.0172,16.73,G022028
233718692,276.1847,60.0333,16.19,G022077;G022028;G022217
335963647,265.7295,51.6019,15.71,G022028
356309904,268.0038,50.6315,16.2,G022077;G022028
357686299,275.124,58.078,14.23,G022077;G022028;G022217;G022017
390019679,277.5819,54.7925,15.16,G022077;G022028
420947520,273.5727,48.1881,10.44,G022028;G022062
47875421,280.4911,53.638,15.48,G022077;G022028
120251682,284.3697,40.5939,13.52,G022028;G022069
120424803,285.0724,39.3752,15.55,G022077;G022028
122139438,289.8655,39.9779,15.87,G022077;G022028;G022217
122885127,277.9952,46.9749,14.87,G022028
157849707,280.2473,39.8338,15.49,G022077;G022028
158488549,287.4974,47.2858,16.39,G022077;G022028
159048032,289.3363,44.8777,15.95,G022077;G022028
164731102,284.6671,42.876,16.25,G022077;G022028
288753941,275.9042,41.068,14.46,G022077;G022028;G022017
289246429,277.7947,39.3923,16.43,G022077;G022028
336207221,281.3411,40.931,16.49,G022077;G022028
350987724,283.6877,41.0875,16.59,G022028
351799167,280.3344,44.7454,16.53,G022077;G022028
390131308,282.3921,40.3376,15.01,G022028;G022077
271538176,295.2471,42.6751,16.39,G022077;G022028
273048383,297.3106,47.5794,16.19,G022028
273241757,297.5108,44.989,15.97,G022077;G022028
27685055,295.9322,50.0774,15.06,G022077;G022028;G022017
27688847,295.9342,52.2924,14.26,G022077;G022028;G022158
277235925,306.8553,48.9724,15.83,G022028;G022077
28369471,297.9951,52.443,16.38,G022028
294690620,302.4033,51.2013,16.41,G022077;G022028
311785189,300.1675,52.8156,16.38,G022077;G022028
416264037,289.6086,48.8841,13.45,G022028
62918265,291.6118,46.3378,15.68,G022077;G022028
198158212,242.9067,61.6929,16.28,G022077;G022028
198182753,245.0893,64.6002,15.98,G022077;G022028
198239605,249.1485,60.7,16.16,G022077;G022028
198456017,261.6808,58.6257,16.01,G022028;G022077;G022017
199666369,252.1082,59.0547,12.34,G022077;G022028;G022017
199710552,253.6703,57.7046,15.91,G022028
219780528,264.0354,61.0414,15.78,G022077;G022028
219863212,258.2745,69.5219,13.5,G022077;G022028;G022017
232605099,257.9268,64.48,16.39,G022077;G022028
232608294,258.5266,62.6468,16.04,G022028
233197921,264.5108,66.8965,15.01,G022077;G022028
284900652,261.0256,56.3342,16.42,G022077;G022028;G022217
287150240,253.6196,63.6554,15.91,G022077;G022028
289538721,251.3695,64.8942,16.27,G022077;G022028
459976272,254.8983,62.159,16.39,G022077;G022028;G022217
471015213,266.475,60.7033,15.7,G022077;G022028
219099282,270.0394,68.5974,15.21,G022077;G022028;G022017
229581336,270.3136,72.3136,16.18,G022077;G022028;G022217
229762574,281.2881,68.3763,15.72,G022077;G022028
229797408,285.0441,70.667,13.33,G022077;G022028;G022017
233212451,267.0123,70.8827,13.27,G022077;G022028;G022176;G022017
233235168,267.2679,71.7527,16.46,G022077;G022028;G022217
235674456,282.817,73.0267,16.32,G022077;G022028
264172524,294.582,69.1534,16.55,G022077;G022028;G022217
267544200,289.5478,72.6237,15.42,G022077;G022028
383673264,278.9385,63.2151,16.33,G022077;G022028
471015223,299.587,67.6736,16.0,G022077;G022028
160185214,247.7229,85.1261,15.33,G022077;G022028;G022217
229673607,252.7241,77.8128,15.45,G022077;G022028;G022217
235930678,291.9278,80.2331,12.34,G022028;G022198
257062199,227.7647,76.8968,15.32,G022077;G022028
288238767,224.1204,81.9489,15.0,G022077;G022028;G022017
288300744,261.8263,78.7026,16.16,G022077;G022028
288344719,263.9741,80.3562,15.89,G022077;G022028;G022217
288407008,267.4459,82.7814,17.84,G022028
288470165,270.6263,80.664,15.43,G022077;G022028
320323992,246.6646,74.5058,15.73,G022077;G022028
367840218,276.2884,77.9266,16.46,G022077;G022028;G022217
441765413,261.6599,77.5598,16.39,G022077;G022028
156507936,220.02,75.0929,15.62,G022077;G022028
159629632,220.3501,63.9595,16.03,G022028
198316592,234.4336,65.0311,14.56,G022077;G022028;G022017
202420264,225.2095,64.2775,16.15,G022077;G022028;G022176
202440506,227.4109,63.5399,14.71,G022077;G022028;G022017
230059745,228.9707,66.7124,15.4,G022077;G022028
232979174,218.5735,65.6665,16.24,G022077;G022028
237104515,241.4014,68.235,16.22,G022077;G022028
458484139,235.4372,64.8977,15.62,G022077;G022028
153974882,202.9429,68.1647,16.02,G022077;G022028
153989648,204.0781,69.8288,15.53,G022077;G022028
153991946,204.7038,70.2853,13.02,G022017;G022028;G022077
159585994,208.0426,65.4166,15.61,G022077;G022028
219460164,207.1815,74.2626,16.16,G022077;G022028
229535313,195.34,67.2189,16.13,G022077;G022028
232972481,199.4652,67.5331,15.92,G022028
313109945,211.4177,74.6499,18.16,G022077;G022028
445857760,203.7493,69.7584,15.84,G022077;G022028
142584631,166.4816,74.6109,15.29,G022077;G022028
142785684,154.5757,76.6741,13.9,G022028;G022069
154567033,190.5046,75.1458,15.5,G022028
154903874,197.1851,85.0398,15.3,G022077;G022028
156170444,178.6772,79.241,15.81,G022077;G022028
156197735,180.4296,80.0829,16.05,G022077;G022028
160272537,186.2007,79.3453,15.78,G022028
219437497,206.3684,76.2267,16.05,G022028
232520712,192.5366,77.2223,16.44,G022077;G022028
232524621,194.1137,77.8837,15.65,G022028
355977196,179.944,73.5905,16.17,G022077;G022028
459211608,149.8045,80.1821,12.47,G022028
103570864,149.6289,69.4829,16.23,G022077;G022028
103631104,151.6764,69.6974,16.1,G022077;G022028
142488005,160.8422,74.5127,16.22,G022077;G022028
142793398,163.0631,71.2604,16.2,G022077;G022028
147921014,165.1419,71.634,15.12,G022077;G022028;G022017
313026786,144.5892,72.705,15.89,G022077;G022028
86375106,144.2893,65.1295,15.18,G022077;G022028;G022217;G022069
100012963,173.4484,62.7209,15.96,G022077;G022028;G022217
100013600,173.6859,61.1403,15.06,G022077;G022028;G022057;G022158
138589319,176.4333,63.0979,15.72,G022077;G022028;G022176
142905656,177.7184,68.5209,14.84,G022077;G022028
149916959,160.4876,63.1168,15.47,G022077;G022028
157328515,181.16,60.5354,13.98,G022077;G022028;G022217;G022017
284566548,171.72,59.3211,15.11,G022077;G022028
298000205,173.8926,57.4138,16.2,G022077;G022028
99868496,166.7473,61.6568,16.41,G022077;G022028
99868786,166.9261,59.974,14.04,G022077;G022028;G022017

# Sector 015 targets observed (186)
136513972,317.4646,42.9513,15.65,G022077;G022028;G022176
138528843,319.7562,42.1054,16.61,G022028
240605201,324.2987,47.5833,15.5,G022028
297612231,313.4478,42.064,17.07,G022028
304108055,315.3004,45.3389,16.17,G022077;G022028;G022217
351571596,325.8682,41.7205,18.6,G022028
353096380,312.2612,45.0101,15.6,G022077;G022028
356613625,312.6574,42.7718,15.96,G022077;G022028
366740395,311.6489,45.986,15.79,G022028
455522746,328.3669,43.534,16.19,G022077;G022028
135859903,305.2864,31.4763,16.15,G022077;G022028
15560205,307.0073,40.9404,16.9,G022028
16200170,307.4851,39.2261,13.68,G022077;G022028;G022017
171410228,298.8626,37.582,16.05,G022028
17373558,308.3413,39.9022,15.82,G022077;G022028
193034150,304.9524,42.554,16.36,G022077;G022028
194061710,312.0339,39.8601,14.79,G022077;G022028;G022017
194154544,312.279,37.4714,13.18,G022077;G022028
194624906,312.7019,36.1789,16.29,G022028
199179022,306.4471,35.9032,15.5,G022077;G022028;G022217
203054851,304.6163,35.5214,15.9,G022077;G022028;G022217
311948770,303.2892,40.0402,13.96,G022077;G022028;G022217;G022017
380298520,303.4311,34.2326,15.7,G022028
42848109,302.6732,36.8829,15.88,G022028
66140007,311.0044,40.5041,15.52,G022077;G022028
66488952,311.3668,38.7407,15.82,G022077;G022028
92645042,303.0059,32.7939,16.79,G022028
126341974,315.5533,24.9609,16.65,G022028
13658517,320.5849,25.0742,16.43,G022077;G022028
161715574,309.5439,31.6221,16.39,G022077;G022028
232951587,311.9377,32.6561,15.47,G022028;G022077
282764015,312.3462,26.4216,16.48,G022028;G022217
283063053,313.2646,29.7674,15.7,G022077;G022028
283903463,316.2195,23.5552,16.02,G022077;G022028
286862643,313.594,23.6284,16.49,G022028
298186852,308.5888,25.0607,11.79,G022077;G022028;G022017
387327138,318.442,26.3572,14.47,G022077;G022028;G022017
419411618,313.6945,24.4581,15.93,G022077;G022028
428831740,315.4353,31.8092,14.99,G022077;G022028;G022176
429685629,317.1937,31.696,12.62,G022028
160512940,322.9376,35.2012,15.64,G022077;G022028
160516648,322.8865,33.3835,15.46,G022028
162334232,331.9661,34.4792,15.13,G022077;G022028
162392243,332.2395,31.254,16.35,G022077;G022028
163802843,320.9797,34.3382,15.63,G022077;G022028;G022217
16783095,327.4789,28.2828,14.68,G022077;G022028;G022017
239631587,325.5525,32.3478,15.77,G022077;G022028;G022217
266594895,324.4576,32.0542,16.13,G022077;G022028
27891406,333.4192,29.5364,12.95,G022028
283280702,329.9463,29.6113,15.54,G022077;G022028;G022217
287443040,326.3496,35.5365,16.17,G022028
287926830,327.6688,30.5939,15.99,G022077;G022028
305557277,330.5593,38.8122,15.88,G022077;G022028
329800842,328.1244,34.1289,15.38,G022077;G022028
368286049,330.5232,29.3184,16.03,G022077;G022028
427819257,323.6014,36.9216,16.12,G022077;G022028
84198841,328.0126,37.4392,15.34,G022077;G022028;G022017
88589037,323.3291,25.6906,15.57,G022028
229485883,295.9173,60.4837,16.04,G022028
230029140,292.224,61.0969,16.46,G022028;G022077
233390225,301.5704,59.0403,15.65,G022077;G022028
236865474,302.6782,62.4248,15.21,G022077;G022028;G022217
236870706,302.7724,61.5453,15.61,G022077;G022028
256378322,298.6058,65.5853,16.44,G022028
256459794,299.0951,64.2327,15.46,G022077;G022028;G022217
256866809,301.7306,61.7186,15.86,G022028
264172524,294.582,69.1534,16.55,G022077;G022028;G022217
424699808,294.4412,59.0083,15.44,G022028
471015223,299.587,67.6736,16.0,G022077;G022028
229966905,289.5996,59.9981,15.17,G022077;G022028;G022017
230384389,285.8334,60.5984,15.05,G022077;G022028
230396780,286.7044,61.1032,16.36,G022028;G022077
232681995,282.4011,58.8426,15.71,G022028
233528682,280.2552,61.3426,16.23,G022077;G022028
233718692,276.1847,60.0333,16.19,G022077;G022028;G022217
243331395,289.9622,54.5342,13.8,G022028
287259816,292.8521,57.0721,15.26,G022077;G022028
287259821,292.8517,57.0704,16.42,G022028
298900716,288.2037,53.7211,13.45,G022077;G022028;G022017
357686299,275.124,58.078,14.23,G022077;G022028;G022217;G022017
390019679,277.5819,54.7925,15.16,G022077;G022028
424461085,279.5315,60.3617,15.7,G022077;G022028
47875421,280.4911,53.638,15.48,G022077;G022028
158488549,287.4974,47.2858,16.39,G022077;G022028
159048032,289.3363,44.8777,15.95,G022077;G022028
271538176,295.2471,42.6751,16.39,G022077;G022028
273048383,297.3106,47.5794,16.19,G022028
273241757,297.5108,44.989,15.97,G022077;G022028
27685055,295.9322,50.0774,15.06,G022077;G022028;G022017
27688847,295.9342,52.2924,14.26,G022077;G022028;G022158
28369471,297.9951,52.443,16.38,G022028
294690620,302.4033,51.2013,16.41,G022077;G022028
311785189,300.1675,52.8156,16.38,G022077;G022028
416264037,289.6086,48.8841,13.45,G022028
62918265,291.6118,46.3378,15.68,G022077;G022028
233418152,302.2838,55.1267,15.89,G022077;G022028
259773610,318.1843,50.1049,13.43,G022077;G022028;G022017
277097023,310.0137,56.4723,15.71,G022028
289340949,315.13,50.8544,15.01,G022077;G022028
314771701,319.7336,54.2125,12.54,G022077;G022028
315136775,320.1757,58.3224,15.71,G022077;G022028
315577304,320.8228,56.972,16.95,G022028
421449182,314.9643,59.0926,18.23,G022028;G022217
467224218,306.7737,55.5695,16.08,G022028
62774646,319.3246,50.7353,15.35,G022028;G022217
198456017,261.6808,58.6257,16.01,G022028;G022077;G022017
198479927,262.2332,55.9742,16.36,G022077;G022028
199666369,252.1082,59.0547,12.34,G022077;G022028;G022017
199710552,253.6703,57.7046,15.91,G022028
219780528,264.0354,61.0415,15.78,G022077;G022028
232605099,257.9268,64.48,16.39,G022077;G022028
232608294,258.5266,62.6468,16.04,G022028
233197921,264.5108,66.8965,15.01,G022077;G022028
233688182,275.3393,61.0172,16.73,G022028
284900652,261.0256,56.3342,16.42,G022077;G022028;G022217
287150240,253.6196,63.6554,15.91,G022077;G022028
383673264,278.9385,63.2151,16.33,G022077;G022028
459976272,254.8983,62.159,16.39,G022077;G022028;G022217
471015213,266.475,60.7033,15.7,G022077;G022028
219099282,270.0394,68.5974,15.21,G022077;G022028;G022017
219863212,258.2745,69.5219,13.5,G022077;G022028;G022017
219884489,262.0059,69.644,15.87,G022077;G022028
229581336,270.3136,72.3136,16.18,G022077;G022028;G022217
229762574,281.2881,68.3763,15.72,G022077;G022028
229797408,285.0441,70.667,13.33,G022077;G022028;G022017
233206916,266.0307,68.2382,16.24,G022077;G022028
233212451,267.0122,70.8827,13.27,G022077;G022028;G022176;G022017
233235168,267.2679,71.7527,16.46,G022077;G022028;G022217
235674456,282.8171,73.0267,16.32,G022077;G022028
267544200,289.5479,72.6237,15.42,G022077;G022028
288300744,261.8263,78.7026,16.16,G022077;G022028
367840218,276.2884,77.9266,16.46,G022077;G022028;G022217
441765413,261.6599,77.5598,16.39,G022077;G022028
156507936,220.02,75.0929,15.62,G022077;G022028
219437497,206.3684,76.2267,16.05,G022028
219465698,209.3533,75.6232,16.11,G022077;G022028
229673607,252.7241,77.8128,15.45,G022077;G022028;G022217
257062199,227.7647,76.8968,15.32,G022077;G022028
313109945,211.4177,74.6499,18.16,G022077;G022028
320323992,246.6646,74.5058,15.73,G022077;G022028
367603862,214.2177,75.5,15.99,G022077;G022028
165626749,227.9618,56.4124,16.17,G022028
198158212,242.9067,61.6929,16.28,G022077;G022028
198182753,245.0893,64.6002,15.98,G022077;G022028
198239605,249.1485,60.7,16.16,G022077;G022028
198316592,234.4336,65.0311,14.56,G022077;G022028;G022017
202420264,225.2095,64.2775,16.15,G022077;G022028;G022176
202440506,227.4109,63.5399,14.71,G022077;G022028;G022017
230059745,228.9707,66.7124,15.4,G022077;G022028
237104515,241.4014,68.235,16.22,G022077;G022028
313424882,240.6748,57.9712,13.98,G022077;G022028
458484139,235.4372,64.8977,15.62,G022077;G022028
141822426,206.5066,57.0101,13.62,G022077;G022028
141872267,207.8351,54.9618,15.88,G022077;G022028
141874000,207.9206,54.3299,16.48,G022077;G022028
158617990,223.8382,56.9291,15.02,G022077;G022028;G022017
159629632,220.3501,63.9595,16.03,G022028
232979174,218.5735,65.6665,16.24,G022077;G022028
233459202,210.9308,52.1134,16.16,G022077;G022028
284628173,216.8975,53.8085,15.16,G022077;G022028
471015231,221.509,63.4899,15.57,G022077;G022028
142905656,177.7184,68.5209,14.84,G022077;G022028
153974882,202.9429,68.1647,16.02,G022077;G022028
153989648,204.0781,69.8288,15.53,G022077;G022028
153991946,204.7038,70.2853,13.02,G022017;G022028;G022077
154567033,190.5046,75.1458,15.5,G022028
159585994,208.0426,65.4166,15.61,G022077;G022028
198489428,195.8098,75.1685,16.28,G022077;G022028
219460164,207.1815,74.2626,16.16,G022077;G022028
229535313,195.34,67.2189,16.13,G022077;G022028
232972481,199.4652,67.5331,15.92,G022028
445857760,203.7493,69.7584,15.84,G022077;G022028
100012963,173.4484,62.7209,15.96,G022077;G022028;G022217
100013600,173.6859,61.1403,15.06,G022077;G022028;G022057;G022158
138589319,176.4332,63.0979,15.72,G022077;G022028;G022176
157328515,181.16,60.5354,13.98,G022077;G022028;G022217;G022017
224288915,182.8762,57.4028,15.21,G022077;G022028
284566548,171.72,59.3211,15.11,G022077;G022028
298000205,173.8926,57.4138,16.2,G022077;G022028
99868786,166.9261,59.974,14.04,G022077;G022028;G022017
155871645,195.8835,54.2068,16.02,G022077;G022028
155872634,196.1332,59.4595,14.78,G022077;G022028;G022017
157271533,198.2432,58.086,14.06,G022077;G022028;G022017
219031924,206.6012,50.6839,16.23,G022077;G022028
286924740,203.8369,49.5186,16.06,G022077;G022028
471015221,195.147,59.071,15.55,G022077;G022028

# Sector 016 targets observed (169)
252627215,346.3822,51.4223,15.72,G022077;G022028
315301267,347.4978,55.114,15.14,G022028
341988924,332.863,53.7529,16.55,G022077;G022028
388138373,339.5983,54.4373,16.36,G022028
416036999,339.2579,57.9573,14.47,G022028
428244499,340.7742,58.7269,15.76,G022028
431067687,334.7143,48.6578,15.75,G022077;G022028
444160759,342.4683,58.5755,14.65,G022077;G022028;G022017
67061458,342.6153,53.4089,14.04,G022028
136513972,317.4646,42.9513,15.65,G022077;G022028;G022176
138528843,319.7562,42.1054,16.61,G022028
240605201,324.2987,47.5833,15.5,G022028
304108055,315.3004,45.3389,16.17,G022077;G022028;G022217
351571596,325.8682,41.7205,18.6,G022028
427942736,331.5607,47.1473,15.71,G022077;G022028
455522746,328.3669,43.534,16.19,G022077;G022028
455677982,332.8398,45.552,11.93,G022028;G022069
119996731,334.504,39.1444,16.09,G022077;G022028;G022176;G022065
162334232,331.9661,34.4792,15.13,G022077;G022028
162392243,332.2395,31.254,16.35,G022077;G022028
27891406,333.4192,29.5364,12.95,G022028
287443040,326.3496,35.5365,16.17,G022028
305557277,330.5593,38.8122,15.88,G022077;G022028
315138575,336.686,39.0205,16.16,G022028
329800842,328.1244,34.1289,15.38,G022077;G022028
372363437,332.0722,39.1197,15.92,G022028;G022217;G022077
84198841,328.0126,37.4392,15.34,G022077;G022028;G022017
129101920,341.6448,40.4052,15.02,G022077;G022028;G022158
129562195,344.1851,37.5979,16.41,G022077;G022028
129563318,344.2188,39.1397,15.53,G022141;G022028
154268972,342.2572,46.3374,16.47,G022077;G022028;G022217
155112997,345.6858,43.213,16.31,G022077;G022028
173387780,347.1323,45.7029,15.86,G022077;G022028;G022217
173668371,349.1838,47.4545,16.48,G022028;G022148
173921281,350.3704,47.8955,16.27,G022028;G022077
333224807,352.9005,41.0247,14.07,G022077;G022028;G022017
373928876,345.769,37.6933,16.38,G022077;G022028
455816370,347.6984,42.8357,15.65,G022077;G022028
256351952,322.8443,70.617,15.82,G022077;G022028;G022217
256378322,298.6058,65.5853,16.44,G022028
256459794,299.0951,64.2327,15.46,G022077;G022028;G022217
264172524,294.582,69.1534,16.55,G022077;G022028;G022217
267544200,289.5479,72.6237,15.42,G022077;G022028
388079618,318.4127,71.817,15.99,G022077;G022028
390974895,318.367,72.1377,15.97,G022077;G022028;G022217
471015223,299.587,67.6736,16.0,G022077;G022028
229485883,295.9173,60.4837,16.04,G022028
229966905,289.5996,59.9981,15.17,G022077;G022028;G022017
230029140,292.224,61.0969,16.46,G022028;G022077
230384389,285.8334,60.5984,15.05,G022077;G022028
230396780,286.7044,61.1032,16.36,G022028;G022077
232681995,282.4011,58.8426,15.71,G022028
233390225,301.5704,59.0403,15.65,G022077;G022028
236865474,302.6782,62.4248,15.21,G022077;G022028;G022217
236870706,302.7724,61.5453,15.61,G022077;G022028
243331395,289.9622,54.5342,13.8,G022028
256866809,301.7306,61.7186,15.86,G022028
27688847,295.9342,52.2924,14.26,G022077;G022028;G022158
287259816,292.8521,57.0721,15.26,G022077;G022028
287259821,292.8517,57.0704,16.42,G022028
298900716,288.2037,53.7211,13.45,G022077;G022028;G022017
424699808,294.4412,59.0083,15.44,G022028
233418152,302.2838,55.1267,15.89,G022077;G022028
259773610,318.1843,50.1049,13.43,G022077;G022028;G022017
277097023,310.0137,56.4723,15.71,G022028
277235925,306.8553,48.9724,15.83,G022028;G022077
289340949,315.13,50.8544,15.01,G022077;G022028
294690620,302.4033,51.2013,16.41,G022077;G022028
311785189,300.1675,52.8156,16.38,G022077;G022028
314771701,319.7336,54.2125,12.54,G022077;G022028
366740395,311.6489,45.986,15.79,G022028
467224218,306.7737,55.5695,16.08,G022028
62774646,319.3246,50.7353,15.35,G022028;G022217
283414280,327.9162,59.2929,13.84,G022028;G022250
315136775,320.1757,58.3224,15.71,G022077;G022028
315577304,320.8228,56.972,16.95,G022028
321547580,320.6329,66.0118,15.9,G022077;G022028
331147036,325.9977,54.4463,16.23,G022028
335811769,333.0372,61.485,16.11,G022028;G022217
376020501,317.4689,65.1229,15.59,G022077;G022028
198456017,261.6808,58.6257,16.01,G022028;G022077;G022017
198479927,262.2332,55.9742,16.36,G022077;G022028
219780528,264.0354,61.0415,15.78,G022077;G022028
232605099,257.9268,64.48,16.39,G022077;G022028
232608294,258.5266,62.6468,16.04,G022028
233528682,280.2552,61.3426,16.23,G022077;G022028
233688182,275.3393,61.0172,16.73,G022028
233718692,276.1847,60.0333,16.19,G022077;G022028;G022217
284900652,261.0256,56.3342,16.42,G022077;G022028;G022217
357686299,275.124,58.078,14.23,G022077;G022028;G022217;G022017
383673264,278.9385,63.2151,16.33,G022077;G022028
390019679,277.5819,54.7925,15.16,G022077;G022028
424461085,279.5315,60.3617,15.7,G022077;G022028
471015213,266.475,60.7033,15.7,G022077;G022028
219099282,270.0394,68.5974,15.21,G022077;G022028;G022017
219863212,258.2745,69.5219,13.5,G022077;G022028;G022017
219884489,262.0059,69.644,15.87,G022077;G022028
229581336,270.3136,72.3136,16.18,G022077;G022028;G022217
229673607,252.7241,77.8128,15.45,G022077;G022028;G022217
229762574,281.288,68.3763,15.72,G022077;G022028
233197921,264.5108,66.8965,15.01,G022077;G022028
233206916,266.0307,68.2382,16.24,G022077;G022028
233212451,267.0121,70.8827,13.27,G022077;G022028;G022176;G022017
233235168,267.2679,71.7527,16.46,G022077;G022028;G022217
235674456,282.8171,73.0267,16.32,G022077;G022028
320323992,246.6646,74.5058,15.73,G022077;G022028
367840218,276.2884,77.9266,16.46,G022077;G022028;G022217
441765413,261.6599,77.5598,16.39,G022077;G022028
198316592,234.4336,65.0311,14.56,G022077;G022028;G022017
202420264,225.2095,64.2775,16.15,G022077;G022028;G022176
202440506,227.4109,63.5399,14.71,G022077;G022028;G022017
230059745,228.9707,66.7124,15.4,G022077;G022028
232979174,218.5735,65.6665,16.24,G022077;G022028
237104515,241.4014,68.235,16.22,G022077;G022028
458484139,235.4372,64.8977,15.62,G022077;G022028
159923025,240.3016,53.2848,16.18,G022077;G022028
162617347,245.1012,52.3893,14.69,G022077;G022028;G022217
198158212,242.9067,61.6929,16.28,G022077;G022028
198239605,249.1485,60.7,16.16,G022077;G022028
199574211,248.5786,57.1757,14.5,G022077;G022028;G022176
199666369,252.1082,59.0547,12.34,G022077;G022028;G022017
199710552,253.6703,57.7046,15.91,G022028
207427565,243.319,55.3572,16.01,G022077;G022028
274239484,250.237,53.6849,14.78,G022077;G022028
313424882,240.6748,57.9712,13.98,G022077;G022028
471013455,247.3005,55.2553,16.1,G022077;G022028
158591137,223.5655,55.198,16.37,G022077;G022028
158617990,223.8382,56.9291,15.02,G022077;G022028;G022017
165624606,227.4734,54.6623,15.92,G022077;G022028
165626749,227.9618,56.4124,16.17,G022028
193990614,230.444,52.3678,16.06,G022077;G022028;G022217
233641041,227.4382,45.7739,16.48,G022077;G022028
235559031,232.4291,48.6069,14.89,G022028;G022017
235567807,234.0667,50.2298,15.67,G022077;G022028
283819120,225.8651,46.0563,15.63,G022028
310166944,238.8905,50.4299,16.04,G022077;G022028
